TJ노래방 번호	URL	제목	가수	구분	비고	유튜브 검증
0180714	https://www.youtube.com/watch?v=vBY8VrOSPXE	_나의작은별에게(Dear My Little Star)	정예원(YEWON)	한국어	임의	
89415	https://www.youtube.com/watch?v=tNUqMIsafsQ	펭수로하겠습니다(This Is Pengsoo)	펭수(Pengsoo),Tiger JK,Bizzy,BIBI	한국어		
089415	https://www.youtube.com/watch?v=TfkZdmG4M7A	_펭수로하겠습니다(This Is Pengsoo)	펭수(Pengsoo),Tiger JK,Bizzy,BIBI	한국어		
11128	https://www.youtube.com/watch?v=v0a0qxNJhiE	時代を越える想い(시대를초월한마음) (이누야샤 犬夜叉 Inuyasha OP)		일본어	임의	
011128	https://www.youtube.com/watch?v=dgnKE4xRP4A?t=5	_時代を越える想い(시대를초월한마음) (이누야샤 犬夜叉 Inuyasha OP)	라온(Raon Lee)	일본어	임의	
820128	https://www.youtube.com/watch?v=CWPfQ1aE4AE	Sweet Dreams, My Dear (로스트아크 LOST ARK OST)	소향(SoHyang)	한국어	임의	
0820128	https://www.youtube.com/watch?v=sVJ2ojZhtDg?t=5	_Sweet Dreams, My Dear (로스트아크 LOST ARK OST)	소향(SoHyang)	한국어	임의	
10730	https://www.youtube.com/watch?v=ikGFzASwo5c	야야야(Hey Hey Hey) (그남자그여자 彼氏彼女の事情 OST)	BK프로젝터(BK Projector)	한국어		
010730	https://www.youtube.com/watch?v=5JnFzJNCT28	_야야야(Hey Hey Hey) (그남자그여자 彼氏彼女の事情 OST)	BK프로젝터(BK Projector)	한국어		
89496	https://www.youtube.com/watch?v=el_uAwgRqDM	사랑하게될줄알았어(I Knew I Love)	전미도(JEON MI DO)	한국어		
089496	https://www.youtube.com/watch?v=rOCymN-Rwiw	_사랑하게될줄알았어(I Knew I Love)	전미도(JEON MI DO)	한국어		
23937	https://www.youtube.com/watch?v=V0VBD7fmtbs	I Ain't Worried (탑건:매버릭 Top Gun: Maverick OST)	OneRepublic	영어		
023937	https://www.youtube.com/watch?v=KJKn2DccM-Y	_I Ain't Worried (탑건:매버릭 Top Gun: Maverick OST)	OneRepublic	영어		
23935	https://www.youtube.com/watch?v=at4V8qm6YxM	World's Smallest Violin	AJR	영어		
023935	https://www.youtube.com/watch?v=_y-yZXJiMf8	_World's Smallest Violin	AJR	영어		
82137	https://www.youtube.com/watch?v=oLpoAPZRC0w	 첫사랑(Pop?Pop!)	첫사랑(CSR)	한국어,아이돌		
082137	https://www.youtube.com/watch?v=vsxe7foxyMU?t=10	_ 첫사랑(Pop?Pop!)	첫사랑(CSR)	한국어,아이돌		
82109	https://www.youtube.com/watch?v=lPABMtpVIrM	조각나비(Butterfly Sculpture)	시드사운드(SID-Sound)	한국어		
082109	https://www.youtube.com/watch?v=d5w3vFh7mgU	_조각나비(Butterfly Sculpture)	시드사운드(SID-Sound)	한국어		
58127	https://www.youtube.com/watch?v=VgsXiqvsZRQ	Reminiscence Overture	시드사운드(SID-Sound)	한국어	임의	
058127	https://www.youtube.com/watch?v=t6WgTmHKhUw	_Reminiscence Overture	시드사운드(SID-Sound)	한국어	임의	
82110	https://www.youtube.com/watch?v=szADk9ZfLJs	여우별(Fox Star)	시드사운드(SID-Sound)	한국어	임의	
082110	https://www.youtube.com/watch?v=Wfr-T0g0TL8	_여우별(Fox Star)	시드사운드(SID-Sound)	한국어	임의	
82073	https://www.youtube.com/watch?v=2vzV5kpNlCw	FOREVER 1	소녀시대(Girls' Generation)	한국어,아이돌		
082073	https://www.youtube.com/watch?v=Qpf26PtBXgo	_FOREVER 1	소녀시대(Girls' Generation)	한국어,아이돌		
82156	https://www.youtube.com/watch?v=5Uh3GGi2afM	After LIKE	아이브(IVE)	한국어,아이돌		
082156	https://www.youtube.com/watch?v=F0B7HDiY-10	_After LIKE	아이브(IVE)	한국어,아이돌		
45708	https://www.youtube.com/watch?v=AIKdTZnUNos	혜화동(혹은 쌍문동)(HYEHWADONG)	박보람(Park Boram)	한국어		
045708	https://www.youtube.com/watch?v=iS8zpi8GfnA	_혜화동(혹은 쌍문동)(HYEHWADONG)	박보람(Park Boram)	한국어		
3777	https://www.youtube.com/watch?v=6Mg--r_So0U	너에게난, 나에게넌(Me to You, You to Me)	자전거탄풍경(Scenery Of Riding Bicycle)	한국어		
03777	https://www.youtube.com/watch?v=5ysdHjaeGGU	_너에게난, 나에게넌(Me to You, You to Me)	자전거탄풍경(Scenery Of Riding Bicycle)	한국어		
22806	https://www.youtube.com/watch?v=ACF3LwFVKZI	Demons	Imagine Dragons	영어		
022806	https://www.youtube.com/watch?v=mWRsgZuwf_8	_Demons	Imagine Dragons	영어		
38476	https://www.youtube.com/watch?v=d70vO3M3nHM	너의의미(Meaning Of You)	IU,김창완(Kim Chang-Wan)	한국어		
038476	https://www.youtube.com/watch?v=4L-H_cXSNhQ?t=78	_너의의미(Meaning Of You)	IU,김창완(Kim Chang-Wan)	한국어		
96919	https://www.youtube.com/watch?v=VvFpihv3_ew	파아란(Deep Blue)	안예은(AHN YEEUN)	한국어		
096919	https://www.youtube.com/watch?v=TjDaOuWuSHY	_파아란(Deep Blue)	안예은(AHN YEEUN)	한국어		
46583	https://www.youtube.com/watch?v=P3JHJExiTEk	Bye Bye My Blue	백예린(Yerin Baek)	한국어		
046583	https://www.youtube.com/watch?v=WbhK3wMXluE	_Bye Bye My Blue	백예린(Yerin Baek)	한국어		
24188	https://www.youtube.com/watch?v=ixfKRAVI63g	Diablo	EK, 저스디스(JUSTHIS)	한국어		
024188	https://www.youtube.com/watch?v=N5PbOI1IGh8?t=5	_Diablo	EK, 저스디스(JUSTHIS)	한국어		
98738	https://www.youtube.com/watch?v=Mi0II_z3vlc	GOD GOD GOD	EK	한국어		
098738	https://www.youtube.com/watch?v=whvzimvhc_Y?t=5	_GOD GOD GOD	EK	한국어		
98396	https://www.youtube.com/watch?v=AhkZs6ndiV4	WHY DO FUCKBOIS HANG OUT ON THE NET	키드밀리(KIDMILLI)	한국어		
098396	https://www.youtube.com/watch?v=xGxiqglTrN8	_WHY DO FUCKBOIS HANG OUT ON THE NET	키드밀리(KIDMILLI)	한국어		
98672	https://www.youtube.com/watch?v=jm71VJKBnMQ	물어(Bite)	나플라(NAFLA)	한국어		
098672	https://www.youtube.com/watch?v=rdpMm19Z9y4?t=5	_물어(Bite)	나플라(NAFLA)	한국어		
80302	https://www.youtube.com/watch?v=qQbbqQC8rZc	run!	나플라(NAFLA)	한국어		
080302	https://www.youtube.com/watch?v=l_j7g2lRYN8	_run!	나플라(NAFLA)	한국어		
98801	https://www.youtube.com/watch?v=1M4vfBJvTYg	Boss Thang	키드밀리(KIDMILLI),양홍원(Young B)	한국어		
098801	https://www.youtube.com/watch?v=pqXLEJEzw9A	_Boss Thang	키드밀리(KIDMILLI),양홍원(Young B)	한국어		
98774	https://www.youtube.com/watch?v=MT7rUTXfFJ8	MOMM	키드밀리(KIDMILLI),저스디스(JUSTHIS)	한국어		
098774	https://www.youtube.com/watch?v=EGQOU-jS-rQ?t=5	_MOMM	키드밀리(KIDMILLI),저스디스(JUSTHIS)	한국어		
98823	https://www.youtube.com/watch?v=9uN-NW_peZU	XXL	김효은,딥플로우(Deepflow),도끼(DOK2)	한국어		
098823	https://www.youtube.com/watch?v=EWq0afYc6XY	_XXL	김효은,딥플로우(Deepflow),도끼(DOK2)	한국어		
82072	https://www.youtube.com/watch?v=nTL2KONavNQ	Hype boy	NewJeans	한국어		
082072	https://www.youtube.com/watch?v=9wUKhEgnllc?t=10	_Hype boy	NewJeans	한국어		
82075	https://www.youtube.com/watch?v=DkewCtyoF6U	새벽에걸려온너의전화는(dawn call from you)	한동근(Han Dong Geun)	한국어		
082075	https://www.youtube.com/watch?v=BAoL3t13ZRg	_새벽에걸려온너의전화는(dawn call from you)	한동근(Han Dong Geun)	한국어		
42090	https://www.youtube.com/watch?v=w8x8FbzYPao	내기쁨은너가벤틀리를끄는거야(My Pleasure Is That You Ride The Bentley)	김승민(Kim SeungMin)	한국어		
042090	https://www.youtube.com/watch?v=nhpteF75kg8	_내기쁨은너가벤틀리를끄는거야(My Pleasure Is That You Ride The Bentley)	김승민(Kim SeungMin)	한국어		
